Url,Address,ReferenceNumber,Validateddate,Status,Proposal
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/21/21/HH&from=planningSearch,8 Waverley Road Bognor Regis   PO21 5NB,BR/21/21/HH,04-02-21,Undecided     ,Single storey rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/14/21/HH&from=planningSearch,38 The Roystons East Preston   BN16 2TS,EP/14/21/HH,05-02-21,Undecided     ,Single storey side and rear extensions and conversion of roofspace to habitable use
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/15/21/T&from=planningSearch,Kinghtscroft House Sea Lane Rustington  BN16 2RT,R/15/21/T,04-02-21,Undecided     ,Various works to various trees.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/12/21/DOC&from=planningSearch,Babsham Business Centre Babsham Lane Bersted  PO21 5EL,BE/12/21/DOC,01-02-21,DOC Approved     ,Approval of details reserved by condition imposed under ref BE/89/19/PL relating to Condition No 4 - mitigation & remedial strategy for reptiles
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/29/21/HH&from=planningSearch,36 Southfields Road Littlehampton   BN17 6AE,LU/29/21/HH,05-02-21,Undecided     ,Single storey ground floor rear extension to infill existing building gap and installation of glass roof on main house corridor.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/18/21/HH&from=planningSearch,30 Sea Drive Felpham   PO22 7NE,FP/18/21/HH,29-01-21,Undecided     ,"Two storey rear extension and balcony, garage conversion & single storey garden room to rear."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/30/21/CLE&from=planningSearch,Flat 2 31 South Terrace Littlehampton  BN17 5NU,LU/30/21/CLE,02-02-21,Undecided     ,"Lawful development certificate for the existing property being split into flats & one flat converted from a ""one bedroom"" flat to a ""studio"" flat."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/14/21/T&from=planningSearch,Arundel Acre Wilmington Arundel Road Angmering BN16 4ET,A/14/21/T,02-02-21,Undecided     ,"Reduce the Crowns to 2 No. Oak trees. T1, closest to buildings, remove lateral branch to North back to trunk.
T2, reduce lateral branches to 10m on North face."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/31/21/HH&from=planningSearch,3 Haydon Close Aldwick   PO21 4LG,AW/31/21/HH,11-02-21,Undecided     ,Single storey rear extension and front porch
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/33/21/TC&from=planningSearch,29 The Fairway Aldwick Bay Bognor Regis  PO21 4HD,AW/33/21/TC,28-01-21,Undecided     ,Fell 1 No. Cypress Tree and replace with 1 no. specimen tree
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/13/21/PL&from=planningSearch,Scorton 9 Lime Tree Close East Preston  BN16 1JA,EP/13/21/PL,28-01-21,Undecided     ,"Erection of garden pods to Plots 4 & 5 & the replacement of the previously approved bike store with a shed to Plot 7, following EP/148/19/PL. This site is in CIL Zone 4 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/14/21/PDH&from=planningSearch,113 Harbour View Road Pagham   PO21 4RJ,P/14/21/PDH,08-02-21,Undecided     ,"Notification under extended permitted development rights to remove rear garage and replace with single storey rear extension measuring 6m from beyond the rear wall of the original dwelling house, with maximum height of 3m and eaves height of 2.6m"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/6/21/HH&from=planningSearch,Snetterton West Walberton Lane Walberton  BN18 0QS,WA/6/21/HH,01-02-21,Undecided     ,"Remove of existing double garage, proposed single-storey extension & revised fenestration."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/7/21/DOC&from=planningSearch,Land To East Of Fontwell Racecourse Fontwell Avenue Eastergate  BN18 0SW,WA/7/21/DOC,29-01-21,Undecided     ,Approval of details reserved by condition imposed under ref WA/48/19/RES relating to Condition No 2 - electric vehicle charging
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/9/21/PL&from=planningSearch,Arun House Wandleys Lane Fontwell Eastergate PO20 3SE,WA/9/21/PL,08-02-21,Undecided     ,Modifications and extension to existing house to provide additional first floor space/additional bedroom and improved quality of downstairs living accommodation
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/11/21/HH&from=planningSearch,Waterton House Arundel Road Angmering  BN16 4JR,A/11/21/HH,01-02-21,Undecided     ,"Minor exterior and interior alterations to Listed property including 3 x new windows, back elevation, demolition of an interior dividing wall & other minor works. This application affect the character & appearance of the Angmering Conservation Area."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/12/21/L&from=planningSearch,Waterton House Arundel Road Angmering  BN16 4JR,A/12/21/L,01-02-21,Undecided     ,"Listed building consent for minor exterior & interior alterations including 3 x new windows, back elevation, demolition of an interior dividing wall & other minor works."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/13/21/PL&from=planningSearch,The Resourceful Squirrel Red Lion Buildings High Street Angmering BN16 4AE,A/13/21/PL,27-01-21,Undecided     ,Variation of condition 3 imposed under A/189/20/PL relating to hours of operation of outside seating area.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/15/21/CLP&from=planningSearch,40 Palmer Road Angmering   BN16 4LN,A/15/21/CLP,28-01-21,Undecided     ,"Lawful development certificate for a Proposed side hip to gable extension on West Elevation, a rear dormer on North Elevation, side porch on the West Elevation and 4 No. roof lights to the South Elevation

Please see drawings for more information."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/7/21/L&from=planningSearch,The Long House Nyton Road Westergate  PO20 3UP,AL/7/21/L,02-02-21,Undecided     ,"Listed building consent to replace the tiles on roof, remove small dormer on rear elevation & replace with a conservation style rooflight & add an identical rooflight."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/9/21/DOC&from=planningSearch,Land West Of Fontwell Avenue Eastergate  PO20 3RU,AL/9/21/DOC,28-01-21,Undecided     ,Approval of details reserved by condition imposed under ref AL/117/18/PL relating to Condition No 3 - Construction Management Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/32/21/T&from=planningSearch,2 Balmoral Close Aldwick   PO21 4PP,AW/32/21/T,27-01-21,Undecided     ,Crown reduction of 1 No.Lime (T1) to height 15m and spread 10m.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/34/21/HH&from=planningSearch,29 Chawkmare Coppice Aldwick   PO21 3SA,AW/34/21/HH,18-02-21,Undecided     ,Single storey side/front extension and front porch
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/10/21/PL&from=planningSearch,Car park adjacent to The Royal Oak Public House Chichester Road Bognor Regis PO21 5JF,BE/10/21/PL,02-02-21,Undecided     ,Retention perimeter post & rail fence to the back edge of road side verge with gated access from Chichester Road & North Bersted Street.  This application may affect the setting of a listed building & the site is in CIL Zone 4 (Zero Rated) as other development.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/10/21/PL&from=planningSearch,"4 Beechlands Close & east of 18 Beechlands Court Montpelier Road, East Preston   BN16 1JZ",EP/10/21/PL,03-02-21,Undecided     ,Demolition of an existing garage & erection of 2 No. 2 bed dwellings (resubmission following EP/115/20/PL). This site is in CIL Zone 4 and is CIL Liable as dwellings.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/11/21/HH&from=planningSearch,14 West Ridings East Preston   BN16 2TD,EP/11/21/HH,29-01-21,Undecided     ,Two single storey side extensions.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/16/21/HH&from=planningSearch,28 Ashmere Lane Felpham   PO22 7QU,FP/16/21/HH,29-01-21,Undecided     ,Single storey front extension following the demolition of existing porch.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/13/21/HH&from=planningSearch,34 Harbour Road Pagham   PO21 4TE,P/13/21/HH,04-02-21,Undecided     ,Single storey extension to both sides and the rear
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/25/21/HH&from=planningSearch,149 Barrack Lane Aldwick   PO21 4ED,AW/25/21/HH,02-02-21,Undecided     ,Replacement conservatory to rear of property.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/26/21/L&from=planningSearch,149 Barrack Lane Aldwick   PO21 4ED,AW/26/21/L,02-02-21,Undecided     ,Listed building consent for replacement conservatory to rear of property.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/29/21/T&from=planningSearch,1 Gossamer Lane Aldwick   PO21 3AT,AW/29/21/T,26-01-21,Undecided     ,Fell 1 No. White Poplar tree  (T1).
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/30/21/T&from=planningSearch,55 Christchurch Crescent Aldwick   PO21 5SJ,AW/30/21/T,03-02-21,Undecided     ,3 No. Corsican Pine trees - Crown reduction to height approx. 13.5m and spread 10.5m and Crown lift to 3m
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/5/21/HH&from=planningSearch,4 Dial Close Barnham   PO22 0JU,BN/5/21/HH,28-01-21,Undecided     ,Single storey side extension
